id,name,genre,reviews,rating,songs,seconds,genre_black,genre_death,genre_deathcore,genre_doom,genre_folk,genre_gothic,genre_grindcore,genre_heavy,genre_metalcore,genre_power,genre_progressive,genre_symphonic,genre_thrash,word_count,word_count_uniq,words_per_song,words_per_song_uniq,seconds_per_song,word_rate,word_rate_uniq,unique_first_words,N,types,TTR,logTTR,MTLD,logMTLD,vocd-D,logvocd-D
19417,Galneryus,Neoclassical Power Metal,31,87.5,87,3.087e+04,0,0,0,0,0,0,0,0,0,1,0,0,0,20167,1519,231.8,17.46,354.9,0.6532,0.0492,888,20167,1519,0.07532,0.7391,127.4,4.847,80.11,4.383
2289,DragonForce,Power Metal,112,76.14,58,2.168e+04,0,0,0,0,0,0,0,0,0,1,0,0,0,16508,1457,284.6,25.12,373.7,0.7616,0.06722,1100,16508,1457,0.08826,0.75,213.1,5.362,81.5,4.401
4975,Twisted Sister,Heavy Metal/Hard Rock,28,76.17,55,1.354e+04,0,0,0,0,0,0,0,1,0,0,0,0,0,12147,1293,220.9,23.51,246.1,0.8975,0.09553,1101,12147,1293,0.1064,0.7618,57.58,4.053,97.82,4.583
163,Dio,Heavy Metal,92,81.7,93,2.652e+04,0,0,0,0,0,0,0,1,0,0,0,0,0,16452,1528,176.9,16.43,285.2,0.6203,0.05761,1111,16452,1528,0.09288,0.7552,127.8,4.851,96.96,4.574
1006,Within Temptation,Symphonic Metal (early); Symphonic/Alternative Rock (later),59,71.14,65,1.958e+04,0,0,0,0,0,0,0,0,0,0,0,1,0,13891,1304,213.7,20.06,301.2,0.7096,0.06662,1129,13891,1304,0.09387,0.752,134.7,4.903,99.14,4.596
16095,Dokken,"Heavy Metal, Hard Rock",34,67.82,111,2.814e+04,0,0,0,0,0,0,0,1,0,0,0,0,0,19295,1635,173.8,14.73,253.5,0.6857,0.05811,1132,19295,1635,0.08474,0.7499,124.3,4.823,89.58,4.495
3123,Mystic Prophecy,Power/Speed/Thrash Metal,32,76.5,97,2.508e+04,0,0,0,0,0,0,0,0,0,1,0,0,1,15074,1366,155.4,14.08,258.6,0.6009,0.05446,1133,15074,1366,0.09062,0.7504,152.4,5.026,79.54,4.376
34543,Powerwolf,Power Metal,45,79.25,77,1.885e+04,0,0,0,0,0,0,0,0,0,1,0,0,0,14433,1435,187.4,18.64,244.8,0.7656,0.07612,1139,14433,1435,0.09942,0.759,81.51,4.401,59.12,4.08
342,U.D.O.,Heavy Metal,30,81.38,154,4.018e+04,0,0,0,0,0,0,0,1,0,0,0,0,0,24955,2715,162,17.63,260.9,0.6211,0.06758,1166,24955,2715,0.1088,0.7809,160,5.075,106.4,4.667
91003,Carnifex,Deathcore,33,64.33,58,1.203e+04,0,0,1,0,0,0,0,0,0,0,0,0,0,10543,1225,181.8,21.12,207.5,0.8762,0.1018,1198,10543,1225,0.1162,0.7676,164.1,5.101,101.4,4.619
198,Accept,Heavy Metal,100,77.4,148,4.094e+04,0,0,0,0,0,0,0,1,0,0,0,0,0,28882,2792,195.1,18.86,276.6,0.7055,0.0682,1230,28882,2792,0.09667,0.7725,108.7,4.688,106.7,4.67
81757,Stryper,"Heavy Metal, Hard Rock",37,73.82,107,2.609e+04,0,0,0,0,0,0,0,1,0,0,0,0,0,12451,1491,116.4,13.93,243.8,0.4773,0.05716,1260,12451,1491,0.1197,0.7749,137,4.92,92.73,4.53
626,Saxon,"NWOBHM, Heavy Metal",122,75.87,211,5.665e+04,0,0,0,0,0,0,0,1,0,0,0,0,0,38809,2936,183.9,13.91,268.5,0.6851,0.05183,1261,38809,2936,0.07565,0.7557,109.8,4.699,94.33,4.547
1746,Axel Rudi Pell,"Heavy/Power Metal, Hard Rock",41,83.88,136,4.969e+04,0,0,0,0,0,0,0,1,0,1,0,0,0,21133,1940,155.4,14.26,365.4,0.4253,0.03904,1261,21133,1940,0.0918,0.7602,128.8,4.858,89.26,4.492
54764,Bloodbound,Heavy/Power Metal,39,78,87,2.257e+04,0,0,0,0,0,0,0,1,0,1,0,0,0,16637,1650,191.2,18.97,259.5,0.737,0.07309,1263,16637,1650,0.09918,0.7622,134.6,4.902,75.18,4.32
124,Lacuna Coil,Gothic Metal/Rock (early); Alternative Rock/Metal (later),84,62.22,99,2.431e+04,0,0,0,0,0,1,0,0,0,0,0,0,0,14905,1605,150.6,16.21,245.6,0.6131,0.06602,1267,14905,1605,0.1077,0.7681,128.6,4.856,93.64,4.54
603,Freedom Call,Power Metal,39,75.8,112,2.995e+04,0,0,0,0,0,0,0,0,0,1,0,0,0,21535,1803,192.3,16.1,267.4,0.719,0.0602,1286,21535,1803,0.08372,0.7514,133.5,4.894,81.43,4.4
221,Gamma Ray,Power/Speed Metal,108,80.55,110,3.485e+04,0,0,0,0,0,0,0,0,0,1,0,0,0,25754,2143,234.1,19.48,316.8,0.739,0.06149,1312,25754,2143,0.08321,0.7552,167.8,5.123,93.94,4.543
3,Blind Guardian,Speed Metal (early); Power Metal (later),211,83.18,132,3.809e+04,0,0,0,0,0,0,0,0,0,1,0,0,0,34703,2534,262.9,19.2,288.6,0.9111,0.06653,1321,34703,2534,0.07302,0.7497,240.1,5.481,110.6,4.706
255,King Diamond,Heavy Metal,118,85.45,121,3.142e+04,0,0,0,0,0,0,0,1,0,0,0,0,0,22385,2013,185,16.64,259.7,0.7123,0.06406,1323,22385,2013,0.08993,0.7595,197.6,5.286,107.2,4.675
192,Sonata Arctica,Power Metal,127,74.22,89,2.657e+04,0,0,0,0,0,0,0,0,0,1,0,0,0,27149,2755,305,30.96,298.6,1.022,0.1037,1344,27149,2755,0.1015,0.7759,215.1,5.371,102.2,4.626
170,Edguy,Power Metal,71,75.27,107,3.651e+04,0,0,0,0,0,0,0,0,0,1,0,0,0,22935,2522,214.3,23.57,341.2,0.6282,0.06908,1345,22935,2522,0.11,0.7801,171.5,5.145,99.16,4.597
201,HammerFall,Heavy/Power Metal,98,73.27,103,2.93e+04,0,0,0,0,0,0,0,1,0,1,0,0,0,20716,2246,201.1,21.81,284.5,0.707,0.07666,1375,20716,2246,0.1084,0.7765,161.8,5.086,102.3,4.628
245,Black Label Society,Southern/Groove Metal,30,74.5,95,2.401e+04,0,0,0,0,0,0,0,0,0,0,0,0,0,10186,1388,107.2,14.61,252.8,0.4242,0.0578,1378,10186,1388,0.1363,0.784,128.7,4.858,115,4.745
32,Rhapsody of Fire,Symphonic Power Metal,38,78.67,55,2.045e+04,0,0,0,0,0,0,0,0,0,1,0,1,0,12634,1643,229.7,29.87,371.8,0.6179,0.08035,1384,12634,1643,0.13,0.784,185.1,5.221,113.4,4.731
3540257585,Blaze Bayley,Heavy Metal,32,80.67,63,1.788e+04,0,0,0,0,0,0,0,1,0,0,0,0,0,12174,1582,193.2,25.11,283.8,0.681,0.08849,1390,12174,1582,0.1299,0.7831,162.3,5.09,100.9,4.614
3075,Killswitch Engage,Metalcore,68,68.14,73,1.638e+04,0,0,0,0,0,0,0,0,1,0,0,0,0,11216,1503,153.6,20.59,224.4,0.6847,0.09176,1397,11216,1503,0.134,0.7845,148.8,5.003,98.56,4.591
1283,All That Remains,Metalcore/Melodic Death Metal (early); Metalcore/Melodic Hard Rock (later),45,52.33,88,2.018e+04,0,1,0,0,0,0,0,0,1,0,0,0,0,15783,1770,179.4,20.11,229.3,0.7821,0.08771,1399,15783,1770,0.1121,0.7737,132.9,4.89,100.7,4.612
959,Suicidal Tendencies,"Thrash Metal/Crossover, Hardcore Punk",29,72.2,100,2.101e+04,0,0,0,0,0,0,0,0,0,0,0,0,1,22662,2103,226.6,21.03,210.1,1.079,0.1001,1404,22662,2103,0.0928,0.7629,74.91,4.316,97.79,4.583
84,Yngwie Malmsteen,Neoclassical Power Metal/Shred,76,76.79,111,3.177e+04,0,0,0,0,0,0,0,0,0,1,0,0,0,15751,1770,141.9,15.95,286.2,0.4958,0.05571,1409,15751,1770,0.1124,0.7738,163.6,5.097,103.5,4.639
195,Ozzy Osbourne,Heavy Metal,115,69.2,87,2.57e+04,0,0,0,0,0,0,0,1,0,0,0,0,0,17014,1952,195.6,22.44,295.4,0.6621,0.07596,1429,17014,1952,0.1147,0.7777,134.2,4.899,107.6,4.678
943,Loudness,Heavy Metal,47,74.74,147,4.172e+04,0,0,0,0,0,0,0,1,0,0,0,0,0,21774,2372,148.1,16.14,283.8,0.5219,0.05685,1431,21774,2372,0.1089,0.778,146.4,4.986,121.9,4.803
544,W.A.S.P.,Heavy Metal/Hard Rock,72,79.64,108,3.205e+04,0,0,0,0,0,0,0,1,0,0,0,0,0,19072,1879,176.6,17.4,296.7,0.5951,0.05863,1441,19072,1879,0.09852,0.7649,129.9,4.867,85.46,4.448
1388,Evergrey,Progressive/Power Metal,58,76.58,123,3.631e+04,0,0,0,0,0,0,0,0,0,1,1,0,0,21884,2124,177.9,17.27,295.2,0.6026,0.05849,1450,21884,2124,0.09706,0.7666,165,5.106,97.66,4.582
1129,Raven,"NWOBHM, Speed Metal",30,78,126,3.131e+04,0,0,0,0,0,0,0,0,0,0,0,0,0,20147,2186,159.9,17.35,248.5,0.6436,0.06983,1455,20147,2186,0.1085,0.7759,148,4.997,97.43,4.579
10897,Delain,Melodic Symphonic Metal,33,79.5,64,1.656e+04,0,0,0,0,0,0,0,0,0,0,0,1,0,10089,1473,157.6,23.02,258.8,0.6092,0.08894,1459,10089,1473,0.146,0.7913,139.7,4.939,99.23,4.597
331,Avantasia,Symphonic Power Metal,61,76.67,65,2.222e+04,0,0,0,0,0,0,0,0,0,1,0,1,0,18247,2138,280.7,32.89,341.8,0.8213,0.09623,1460,18247,2138,0.1172,0.7815,189.9,5.247,88.24,4.48
83,Manowar,Heavy/Power Metal,153,75,84,2.556e+04,0,0,0,0,0,0,0,1,0,1,0,0,0,16761,1802,199.5,21.45,304.2,0.6558,0.07051,1472,16761,1802,0.1075,0.7707,187.3,5.233,96.9,4.574
216,Stratovarius,Melodic Power Metal,132,79.38,115,3.771e+04,0,0,0,0,0,0,0,0,0,1,0,0,0,17240,1875,149.9,16.3,327.9,0.4572,0.04972,1475,17240,1875,0.1088,0.7726,191.4,5.255,104.6,4.65
2025,Firewind,Heavy/Power Metal,47,74.38,73,1.99e+04,0,0,0,0,0,0,0,1,0,1,0,0,0,11422,1627,156.5,22.29,272.6,0.5739,0.08175,1478,11422,1627,0.1424,0.7914,166.4,5.115,107.3,4.676
4667,Orden Ogan,Folk Metal (early); Power Metal (later),35,86,60,1.963e+04,0,0,0,0,1,0,0,0,0,1,0,0,0,11897,1613,198.3,26.88,327.1,0.6062,0.08219,1478,11897,1613,0.1356,0.7871,147.5,4.994,95.18,4.556
313,Brainstorm,Power Metal,32,80.55,107,3.071e+04,0,0,0,0,0,0,0,0,0,1,0,0,0,16297,1920,152.3,17.94,287,0.5307,0.06252,1486,16297,1920,0.1178,0.7795,347.7,5.851,97.26,4.577
98854,Underoath,Metalcore (early); Alternative Rock/Post-Hardcore/Metalcore (later),43,56.62,69,1.851e+04,0,0,0,0,0,0,0,0,1,0,0,0,0,13274,1675,192.4,24.28,268.2,0.7173,0.09051,1500,13274,1675,0.1262,0.782,163.4,5.096,104.3,4.648
1029,Primal Fear,Speed/Power Metal,66,78.75,122,3.549e+04,0,0,0,0,0,0,0,0,0,1,0,0,0,19461,2120,159.5,17.38,290.9,0.5483,0.05973,1501,19461,2120,0.1089,0.7755,173.1,5.154,102.3,4.628
503,Anathema,Doom/Death Metal (early); Progressive/Atmospheric Rock (later),88,79.18,90,3.029e+04,0,1,0,1,0,0,0,0,0,0,1,0,0,10279,1509,114.2,16.77,336.6,0.3393,0.04982,1502,10279,1509,0.1468,0.7923,130.6,4.872,96.16,4.566
159,Helloween,Power/Speed Metal,195,78.33,156,4.66e+04,0,0,0,0,0,0,0,0,0,1,0,0,0,31068,2844,199.2,18.23,298.7,0.6667,0.06103,1502,31068,2844,0.09154,0.7689,125.7,4.834,122.6,4.809
96,Hypocrisy,Death Metal (early); Melodic Death Metal (later),81,84.58,120,3.226e+04,0,1,0,0,0,0,0,0,0,0,0,0,0,18501,2167,154.2,18.06,268.9,0.5734,0.06717,1504,18501,2167,0.1171,0.7817,191.6,5.256,104.1,4.645
96618,DevilDriver,Nu-Metal (early); Groove/Melodic Death Metal (later),49,67.14,76,1.9e+04,0,1,0,0,0,0,0,0,0,0,0,0,0,15048,1923,198,25.3,250,0.792,0.1012,1505,15048,1923,0.1278,0.7861,123.8,4.819,114,4.737
5819,Arsis,Technical Melodic Death Metal,53,79.67,60,1.464e+04,0,1,0,0,0,0,0,0,0,0,0,0,0,10079,1514,168,25.23,243.9,0.6886,0.1034,1509,10079,1514,0.1502,0.7944,183.9,5.215,93.6,4.539
12613,Swallow the Sun,Melodic Doom/Death Metal,53,86,72,3.106e+04,0,1,0,1,0,0,0,0,0,0,0,0,0,13405,1667,186.2,23.15,431.4,0.4316,0.05367,1515,13405,1667,0.1244,0.7806,206.6,5.331,91.48,4.516
189,Fear Factory,Industrial/Death Metal (early); Groove/Industrial Metal (later),92,69.3,101,2.633e+04,0,1,0,0,0,0,0,0,0,0,0,0,0,13339,1916,132.1,18.97,260.7,0.5066,0.07276,1533,13339,1916,0.1436,0.7957,75.03,4.318,132.8,4.889
99,Black Sabbath,Heavy/Doom Metal,330,81.35,120,3.651e+04,0,0,0,1,0,0,0,1,0,0,0,0,0,22142,2212,184.5,18.43,304.2,0.6065,0.06059,1538,22142,2212,0.0999,0.7698,186.6,5.229,102.5,4.63
1067,Six Feet Under,"Death/Groove Metal, Death 'n' Roll",93,59.91,118,2.512e+04,0,1,0,0,0,0,0,0,0,0,0,0,0,19516,2213,165.4,18.75,212.9,0.7768,0.08808,1545,19516,2213,0.1134,0.7796,163,5.094,101.8,4.623
329,Iron Savior,Speed/Power Metal,68,81.25,119,3.531e+04,0,0,0,0,0,0,0,0,0,1,0,0,0,24400,2295,205,19.29,296.7,0.691,0.06499,1546,24400,2295,0.09406,0.766,205,5.323,95.9,4.563
1393,Sirenia,Symphonic/Gothic Metal,44,78.25,78,2.526e+04,0,0,0,0,0,1,0,0,0,0,0,1,0,11494,1668,147.4,21.38,323.9,0.455,0.06603,1552,11494,1668,0.1451,0.7936,221.9,5.402,102.8,4.632
2028,Mercenary,Melodic Death/Power Metal,27,85.83,58,1.909e+04,0,1,0,0,0,0,0,0,0,1,0,0,0,10309,1579,177.7,27.22,329.2,0.5399,0.0827,1553,10309,1579,0.1532,0.797,181,5.199,93.14,4.534
1020,Grave,Death Metal,59,76.91,94,2.519e+04,0,1,0,0,0,0,0,0,0,0,0,0,0,12529,1852,133.3,19.7,268,0.4973,0.07351,1554,12529,1852,0.1478,0.7974,244.4,5.499,107.1,4.673
887,Kataklysm,Death Metal (early); Melodic Death Metal (later),49,69.83,92,2.364e+04,0,1,0,0,0,0,0,0,0,0,0,0,0,13414,1835,145.8,19.95,257,0.5674,0.07762,1560,13414,1835,0.1368,0.7907,203.6,5.316,98.31,4.588
125,Metallica,Thrash Metal (early); Hard Rock (mid); Heavy/Thrash Metal (later),291,72,90,3.373e+04,0,0,0,0,0,0,0,1,0,0,0,0,1,19339,2355,214.9,26.17,374.7,0.5734,0.06983,1572,19339,2355,0.1218,0.7867,122.2,4.805,126.1,4.837
1657,Skid Row,"Heavy Metal, Hard Rock",37,59.8,56,1.274e+04,0,0,0,0,0,0,0,1,0,0,0,0,0,11492,1642,205.2,29.32,227.5,0.9021,0.1289,1577,11492,1642,0.1429,0.7919,112.2,4.721,97.54,4.58
22,Children of Bodom,Melodic Death/Power Metal,162,72.78,72,1.846e+04,0,1,0,0,0,0,0,0,0,1,0,0,0,11805,1724,164,23.94,256.4,0.6395,0.09339,1577,11805,1724,0.146,0.7948,254.4,5.539,103,4.635
812,Tad Morose,Progressive Metal (early); Power/Heavy Metal (later),34,82.12,77,2.227e+04,0,0,0,0,0,0,0,1,0,1,1,0,0,10189,1617,132.3,21,289.2,0.4576,0.07262,1591,10189,1617,0.1587,0.8006,284.7,5.651,103.5,4.639
678,Vicious Rumors,"Heavy/Power Metal, Groove Metal",30,82.27,99,2.664e+04,0,0,0,0,0,0,0,1,0,1,0,0,0,15039,2143,151.9,21.65,269,0.5646,0.08046,1604,15039,2143,0.1425,0.7974,214.6,5.369,107.5,4.677
6716,Epica,Symphonic Metal,57,81.75,68,2.327e+04,0,0,0,0,0,0,0,0,0,0,0,1,0,18168,2463,267.2,36.22,342.2,0.7807,0.1058,1608,18168,2463,0.1356,0.7962,239.9,5.48,118.8,4.778
193,Savatage,"Heavy/Power Metal, Progressive Metal/Rock",88,78.8,94,2.613e+04,0,0,0,0,0,0,0,1,0,1,1,0,0,20564,2419,218.8,25.73,277.9,0.7871,0.09259,1610,20564,2419,0.1176,0.7845,211.2,5.353,108.9,4.69
166,Kamelot,Progressive/Melodic Power Metal,97,77.75,124,3.261e+04,0,0,0,0,0,0,0,0,0,1,1,0,0,21042,2425,169.7,19.56,263,0.6452,0.07436,1611,21042,2425,0.1152,0.7829,217.7,5.383,96.6,4.571
359,Unleashed,Death Metal,65,75.33,134,2.832e+04,0,1,0,0,0,0,0,0,0,0,0,0,0,15073,1992,112.5,14.87,211.4,0.5321,0.07033,1619,15073,1992,0.1322,0.7896,170.5,5.139,111.5,4.714
557,Catamenia,Melodic Black Metal (early); Melodic Death/Gothic Metal (later),37,74.22,75,1.972e+04,1,1,0,0,0,1,0,0,0,0,0,0,0,10268,1649,136.9,21.99,262.9,0.5208,0.08364,1621,10268,1649,0.1606,0.802,275.5,5.619,106.6,4.669
116989,Alestorm,Folk/Power Metal,62,77.33,53,1.422e+04,0,0,0,0,1,0,0,0,0,1,0,0,0,13387,1870,252.6,35.28,268.3,0.9416,0.1315,1623,13387,1870,0.1397,0.7929,163.1,5.094,104.8,4.652
703,Shadows Fall,Melodic Death Metal (early); Metalcore (later),40,78,65,1.832e+04,0,1,0,0,0,0,0,0,1,0,0,0,0,10630,1672,163.5,25.72,281.8,0.5802,0.09127,1625,10630,1672,0.1573,0.8005,237.2,5.469,116.3,4.756
1103,Exciter,Speed Metal,40,72.88,70,1.888e+04,0,0,0,0,0,0,0,0,0,0,0,0,0,10309,1668,147.3,23.83,269.8,0.5459,0.08833,1625,10309,1668,0.1618,0.8029,137,4.92,107.1,4.673
14435,Týr,Progressive/Folk Metal,62,82.5,61,2.163e+04,0,0,0,0,1,0,0,0,0,0,1,0,0,12462,1862,204.3,30.52,354.7,0.576,0.08607,1627,12462,1862,0.1494,0.7984,213.6,5.364,115.1,4.745
484,Sabaton,Power Metal,85,75.67,96,2.258e+04,0,0,0,0,0,0,0,0,0,1,0,0,0,17633,2289,183.7,23.84,235.2,0.7809,0.1014,1628,17633,2289,0.1298,0.7912,242.8,5.492,114.5,4.74
288,Novembers Doom,Doom/Death Metal,40,82.3,81,2.868e+04,0,1,0,1,0,0,0,0,0,0,0,0,0,14245,1966,175.9,24.27,354,0.4967,0.06855,1631,14245,1966,0.138,0.7929,271.8,5.605,91.27,4.514
51,Sigh,Black/Avant-garde Metal,54,87.44,70,2.538e+04,1,0,0,0,0,0,0,0,0,0,0,0,0,15199,2050,217.1,29.29,362.6,0.5989,0.08077,1639,15199,2050,0.1349,0.7919,201.5,5.306,94.57,4.549
900,Rage,Heavy/Speed/Power Metal,106,81.95,212,5.884e+04,0,0,0,0,0,0,0,1,0,1,0,0,0,36265,3157,171.1,14.89,277.6,0.6163,0.05365,1644,36265,3157,0.08705,0.7675,199.2,5.294,115.1,4.745
26,Soilwork,Melodic Death Metal (early); Metalcore/Melodic Groove Metal (later),113,72.18,123,3.087e+04,0,1,0,0,0,0,0,0,1,0,0,0,0,25383,2837,206.4,23.07,251,0.8222,0.0919,1645,25383,2837,0.1118,0.7839,218.2,5.385,112.7,4.725
6,Katatonia,Doom/Death Metal (early); Gothic/Alternative/Progressive Rock/Metal (later),152,84,111,3.217e+04,0,1,0,1,0,1,0,0,0,0,1,0,0,12517,1953,112.8,17.59,289.8,0.3891,0.06071,1651,12517,1953,0.156,0.8031,296.9,5.693,95.5,4.559
105,Virgin Steele,Heavy Metal/Hard Rock (early); Heavy/Power Metal (later),41,76.83,51,1.599e+04,0,0,0,0,0,0,0,1,0,1,0,0,0,10014,1663,196.4,32.61,313.5,0.6263,0.104,1663,10014,1663,0.1661,0.8051,249.8,5.521,96.22,4.567
94,Therion,Death Metal (early); Symphonic/Operatic Metal (later),101,77.93,130,3.828e+04,0,1,0,0,0,0,0,0,0,0,0,1,0,15932,2266,122.6,17.43,294.5,0.4162,0.0592,1663,15932,2266,0.1422,0.7984,198.8,5.292,82.9,4.418
169,Anthrax,"Speed/Thrash Metal, Groove Metal",117,78.11,84,2.535e+04,0,0,0,0,0,0,0,0,0,0,0,0,1,18766,2068,223.4,24.62,301.8,0.7402,0.08157,1672,18766,2068,0.1102,0.7759,151.8,5.022,113.9,4.735
1427,Ayreon,Progressive Metal/Rock,39,87,84,2.444e+04,0,0,0,0,0,0,0,0,0,0,1,0,0,17217,2400,205,28.57,290.9,0.7045,0.09821,1673,17217,2400,0.1394,0.798,244.5,5.499,118.2,4.773
538,Angra,Power/Progressive Metal,79,88.75,71,2.332e+04,0,0,0,0,0,0,0,0,0,1,1,0,0,12371,1820,174.2,25.63,328.4,0.5305,0.07805,1675,12371,1820,0.1471,0.7966,257.5,5.551,111.2,4.712
1541,Holy Moses,Speed/Thrash Metal,40,76,104,2.303e+04,0,0,0,0,0,0,0,0,0,0,0,0,1,15906,2357,152.9,22.66,221.5,0.6905,0.1023,1680,15906,2357,0.1482,0.8026,178.2,5.183,104.9,4.653
25,Iron Maiden,"Heavy Metal, NWOBHM",481,80.65,156,5.809e+04,0,0,0,0,0,0,0,1,0,0,0,0,0,38370,3520,246,22.56,372.4,0.6605,0.06059,1683,38370,3520,0.09174,0.7737,146.7,4.988,103.4,4.639
