id,name,genre,reviews,rating,songs,seconds,genre_black,genre_death,genre_deathcore,genre_doom,genre_folk,genre_gothic,genre_grindcore,genre_heavy,genre_metalcore,genre_power,genre_progressive,genre_symphonic,genre_thrash,word_count,word_count_uniq,words_per_song,words_per_song_uniq,seconds_per_song,word_rate,word_rate_uniq,unique_first_words,N,types,TTR,logTTR,MTLD,logMTLD,vocd-D,logvocd-D
19417,Galneryus,Neoclassical Power Metal,30,87.42,87,30872,0,0,0,0,0,0,0,0,0,1,0,0,0,20167,1519,231.8,17.46,354.9,0.6532,0.0492,888,20167,1519,0.07532,0.7391,127.4,4.847,77.46,4.35
2289,DragonForce,Power Metal,114,76,58,21675,0,0,0,0,0,0,0,0,0,1,0,0,0,16508,1457,284.6,25.12,373.7,0.7616,0.06722,1100,16508,1457,0.08826,0.75,213.1,5.362,85.61,4.45
4975,Twisted Sister,Heavy Metal/Hard Rock,28,77.33,55,13535,0,0,0,0,0,0,0,1,0,0,0,0,0,12147,1293,220.9,23.51,246.1,0.8975,0.09553,1101,12147,1293,0.1064,0.7618,57.58,4.053,101.2,4.617
163,Dio,Heavy Metal,81,82,93,26524,0,0,0,0,0,0,0,1,0,0,0,0,0,16452,1528,176.9,16.43,285.2,0.6203,0.05761,1111,16452,1528,0.09288,0.7552,127.8,4.851,97.07,4.575
1006,Within Temptation,"Symphonic Metal (early), Symphonic/Alternative Rock (later)",55,70.71,65,19575,0,0,0,0,0,0,0,0,0,0,0,1,0,13931,1305,214.3,20.08,301.2,0.7117,0.06667,1127,13931,1305,0.09368,0.7518,135.8,4.911,97.8,4.583
16095,Dokken,"Heavy Metal, Hard Rock",35,66.91,111,28138,0,0,0,0,0,0,0,1,0,0,0,0,0,19295,1635,173.8,14.73,253.5,0.6857,0.05811,1132,19295,1635,0.08474,0.7499,124.3,4.823,95.11,4.555
3123,Mystic Prophecy,Power/Speed/Thrash Metal,31,76.5,97,25084,0,0,0,0,0,0,0,0,0,1,0,0,1,15074,1366,155.4,14.08,258.6,0.6009,0.05446,1133,15074,1366,0.09062,0.7504,152.4,5.026,77.05,4.344
34543,Powerwolf,Power Metal,39,80.14,67,16661,0,0,0,0,0,0,0,0,0,1,0,0,0,11912,1262,177.8,18.84,248.7,0.715,0.07575,1144,11912,1262,0.1059,0.7608,79.84,4.38,57.94,4.059
342,U.D.O.,Heavy Metal,27,81.62,154,40177,0,0,0,0,0,0,0,1,0,0,0,0,0,24955,2715,162,17.63,260.9,0.6211,0.06758,1166,24955,2715,0.1088,0.7809,160,5.075,100.8,4.613
91003,Carnifex,Deathcore,33,64.33,58,12033,0,0,1,0,0,0,0,0,0,0,0,0,0,10543,1225,181.8,21.12,207.5,0.8762,0.1018,1198,10543,1225,0.1162,0.7676,164.1,5.101,97.84,4.583
54764,Bloodbound,Heavy/Power Metal,32,76.43,76,19545,0,0,0,0,0,0,0,1,0,1,0,0,0,14790,1538,194.6,20.24,257.2,0.7567,0.07869,1213,14790,1538,0.104,0.7643,129.5,4.864,74.86,4.316
198,Accept,Heavy Metal,89,78.07,140,38557,0,0,0,0,0,0,0,1,0,0,0,0,0,26973,2650,192.7,18.93,275.4,0.6996,0.06873,1225,26973,2650,0.09825,0.7726,106.9,4.672,100.1,4.606
626,Saxon,"NWOBHM, Heavy Metal",111,76,200,53755,0,0,0,0,0,0,0,1,0,0,0,0,0,36560,2859,182.8,14.29,268.8,0.6801,0.05319,1257,36560,2859,0.0782,0.7574,113.6,4.733,97.43,4.579
81757,Stryper,"Heavy Metal, Hard Rock",36,72.82,107,26086,0,0,0,0,0,0,0,1,0,0,0,0,0,12451,1491,116.4,13.93,243.8,0.4773,0.05716,1260,12451,1491,0.1197,0.7749,137,4.92,93.07,4.533
