,Andorra,Argentina,Australia,Austria,Belarus,Belgium,Botswana,Brazil,Canada,Chile,China,Colombia,Croatia,Czechia,Denmark,Estonia,Faroe Islands,Finland,France,Germany,Greece,Hungary,Iceland,India,Indonesia,International,Iraq,Ireland,Israel,Italy,Japan,Jordan,"Korea, South",Kyrgyzstan,Latvia,Lebanon,Liechtenstein,Lithuania,Malta,Mexico,Monaco,Netherlands,New Zealand,Norway,Pakistan,Philippines,Poland,Portugal,Romania,Russia,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tunisia,Turkey,Ukraine,United Kingdom,United States,Unknown
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.08333333333334,,
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5,,
1970,,,,,,,,,,,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.4713601532567,,
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.65893719806763,,
1972,,,,,,,,,,,,,,,,,,,,81.75,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.28282828282829,,
1973,,,,,,,,,,,,,,,,,,,,79.0,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.85185185185185,,
1974,,,,,,,,,68.07142857142857,,,,,,,,,,,80.93055555555556,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.04166666666667,,
1975,,,,,,,,,76.5625,,,,,,,,,,,88.5,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88333333333333,,
1976,,,,,,,,,88.77777777777777,,,,,,,,,,,80.0,,,,,,,,85.75,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,79.49570003439972,,
1977,,,,,,,,,74.10714285714286,,,,,,,,,,,89.71428571428571,,,,,,,,85.0,,,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,82.78571428571428,85.375,
1978,,,,,,,,,90.33333333333333,,,,,,,,,,,76.0,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,57.5,,,,83.43190476190476,97.0,
1979,,,,,,,,,,,,,,,,,,,,65.225,,,,,,,,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.67687074829932,87.58333333333334,
1980,,,,,,,,,90.28571428571429,,,,,,,,,,,80.16666666666667,,,,,,,,76.5,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,82.43725644725646,61.714285714285715,
1981,,,,,,,,,85.43333333333334,,,,,,,,,,,79.5,,,,,,,,78.5,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,77.33333333333333,,,,77.93605147915811,86.18055555555556,
1982,,,,,,,,,84.54166666666666,,,,,,,,,28.0,,78.60416666666667,,,,,,,,,,,93.5,,,,,,,,,,,,,,,,100.0,,,,,,,,,,86.0,82.0,,,,79.98280303030303,77.375,
1983,,,,,,,,,83.94999999999999,,,,,,93.26666666666667,,,89.0,,83.75,,,,,,,,91.33333333333333,,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,82.5,82.33333333333333,,,,81.38288210711107,82.41893032212886,
1984,,,,,,,,,85.10064102564102,,,,,,91.76923076923077,,,75.0,89.0,79.4969696969697,,,,,,,,,,,79.66666666666666,,,,,,,,,,,,,88.0,,,,,,,,,,,,,86.81643356643357,71.33333333333333,,,,79.88210678210679,82.4274239241151,
1985,,,,,,,,,85.65,,,,,,85.375,,,,77.1,78.99882029734971,,,,,,,,,,84.11111111111111,86.19047619047619,,,,,,,,,,,,,,,,60.0,,,,,,,,,,87.1625,95.27272727272727,,,,82.08962962962963,81.95336913345453,
1986,,,,,,,,80.4074074074074,71.26666666666667,,,,,,85.22222222222223,,,69.0,80.0,78.82352369852372,,82.66666666666667,,,,,,,,78.5,82.08333333333333,,,,,,,,,,,,,,,,98.0,,,,,,,,,,86.47916666666666,58.625,,,,66.8242724867725,83.04057676139719,
1987,,,82.14285714285714,,,,,80.16302083333332,82.27106782106782,,,,,,90.83138401559454,,,,95.0,78.67254293264355,,89.0,,,,,,,,91.4,85.625,,,,,,,,,,,,,92.33333333333333,,,87.5,,,,,,,,,,94.48529411764706,79.88148148148149,,,,73.54192242114236,80.33262510132259,
1988,,89.66666666666667,,,,,,65.25,80.71969696969697,,,,,,86.54545454545455,,,80.0,,85.17899289345368,,,,,,,,,,88.875,89.375,,,,,,,,,,,89.18181818181819,,,,,87.5,,,,,,,,,,89.67592592592592,65.94877344877345,,,,79.74831705961738,82.62832277734739,
1989,,,80.4,,,,,87.95535714285714,83.21296296296295,,,,,,93.7,,,76.66666666666667,60.0,77.97839262187088,,59.0,,,,90.0,,,,87.43333333333332,79.56666666666666,,,,,,,,,,,91.61904761904762,,83.0,,,91.0,,,,,,,,,,94.42857142857143,91.875,,,,79.84528282175343,84.78579243406303,
1990,,94.5,,83.5,,,,71.66666666666666,87.44027777777778,,,,,94.0,88.43333333333334,,,,81.33333333333333,80.59649443210299,,82.0,,,,95.0,,,,,82.08333333333333,,,,,,,,,,,96.66666666666667,,79.66666666666667,,,89.33333333333333,,,,,,,,,,87.28281249999999,76.61111111111111,,,,76.46644700978034,82.68916153170784,
1991,,91.5,69.25,91.8,,,,88.14215686274511,82.20555555555555,,,,,89.58333333333333,87.16666666666667,,,72.80952380952381,89.75,79.95100732600733,,92.0,,,,,,,,92.0,74.22916666666667,,,,,,,,,,,80.53939393939393,,81.06666666666666,,,70.0,,,,,,,,,,85.8248558897243,84.22222222222221,,,,83.33581529581531,83.05959383891837,
1992,,95.5,90.6,,,78.66666666666667,,69.58333333333333,64.66666666666667,,,,,83.66666666666667,79.0,,,86.41468253968253,83.5,81.03753142282554,75.0,55.0,,,,80.0,,,,,90.08333333333334,,,,,,,,,,,85.15972222222221,,84.12431077694235,,,78.72222222222223,,,,,,,,,,84.58027472527472,83.62857142857143,,,,77.42181750541125,80.51722092788914,
