,Afghanistan,Albania,Algeria,Andorra,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Canada,Chile,China,Colombia,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Faroe Islands,Finland,France,Georgia,Germany,Greece,Greenland,Guatemala,Guernsey,Hong Kong,Hungary,Iceland,India,Indonesia,International,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,"Korea, South",Kuwait,Kyrgyzstan,Latvia,Lebanon,Libya,Liechtenstein,Lithuania,Luxembourg,Malaysia,Maldives,Malta,Mexico,Moldova,Monaco,Mongolia,Morocco,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,North Macedonia,Norway,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Syria,Taiwan,Thailand,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Unknown,Uruguay,Uzbekistan,Venezuela,Vietnam,Åland Islands
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.26905810409812,,,,,,,
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.56423491039803,,,,,,,
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.856284620152,,,,,,,,,,,,,,,,,,76.39087333743895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.59825862807988,81.14485592423345,,,,,,
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.58643394477535,,,,,83.7748527403065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.14916298068813,78.36320236360937,,,,,,
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.55511676507636,,,,,,,,,,,,,73.63377632778024,,,,,78.23993179947372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.61431983756559,77.50030841465981,,,,,,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.85185863777326,,,,,,,,,,,,,77.28944766310752,,,,,77.9924613814397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.16812193598263,,,,,,,
1974,,,,,,,,,,,,,,,,,,,,70.98667680646622,,,,,,,,,,,,,,,,,,,,,78.8147343202446,,,,,,,,,,,,,78.55487235610543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.10869404439589,,,,,,,
1975,,,,,,77.00824217577465,,,,,,,,,,,,,,76.91217543864059,,,,,,,,,,,,,,,,,,,,,83.03180253502853,,,,,,,,,,,,,79.53909156177046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.61395136424542,83.41692030277589,,,,,,
1976,,,,,,77.28944766310752,,,,,,,,,,,,,,86.99755872510603,,,,,,,,,,,,,,,,,,,,,77.66527454797694,,,,,,,,,,,,,80.37530604423048,,,,,77.71125589410683,,,,,,,,,,,,,80.24210528010263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.55629676145367,,,,,,,,,,77.4333702613261,89.23688301594139,,,,,,
1977,,,,,,,,,,,,,,,,,,,,80.17157392967013,,,,,,,,,,,,,,,,,,,,,84.09708207018762,,,,,,,,,,,,,79.47263744083025,,,,,78.34396824060578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.58643394477535,,,,,,,,,,79.97572305632825,76.44969099203126,,,,,,
1978,,,,,,,,,,,,,,,,,,,,86.68272959210435,,,,,,,,,,,,,,,,,,,,,77.43005040677396,,,,,,,,,,,,,,,,,,76.44583120110892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.69150759527199,,77.500247416353,72.6927564133694,,,,,,,,,,79.39372824121034,84.34633839962595,,,,,,
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.13306412510612,,75.07287103758053,,,,,,,,,,,,,80.82861364632244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.27021893439327,78.76623589638403,,,,,,
1980,,,,,,,,,,,,,,,,,,,,86.44989971587545,,,,,,,,,,81.19842533872938,,,,,,,,79.25788607443761,77.9924613814397,,78.93068052073815,,,,,,,,,,,,,77.37703785052416,,,,,76.02402297010961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.39848881810403,,,78.43308615330749,,,,,,,,,,79.92057079248617,76.93084737741232,,,,,,
1981,,,,,,77.74684954293113,,,,,,,,75.18040650811102,,,,,,83.75541180992269,,,,,,,,,,,,,,,,,,,72.36835163478233,,77.75432101752338,,,,,,,,,,,,,77.87012010706678,,,,,80.1314553394619,77.9924613814397,,,,,,,,,,,,,,,,,,,,,,,77.85185863777326,,,,,,,,,,,,,,,,76.86763943210822,,,,,78.48457098427221,,76.58643394477535,77.55514583814926,,,,,,,,,,78.52100911048673,78.25710524080532,,,,80.1015025364362,,
