,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.4,,,,,,,,,,,,,,,,
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5,,,,,,,,,,,,,,,,
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,,,,,85.92857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,,,,,93.16666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.42857142857143,,,,,,,,,,,,,,,,
1978,,,,,87.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,,,,,81.58333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.16666666666667,,,,,,,,,,,,,75.0,,,
1980,,,,,85.0,,,,,,,,,,,78.42857142857143,,,,,,,,,,,,,,,,,,45.0,78.33333333333333,,,,,,,,,,,,,,,
1981,,,,,71.51388888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.625,63.0,,,,,,,,,,,,,,,
1982,,,,,79.0,,,,,,,,,,,81.25,,,,,,,,,,,,,,,,,,76.44444444444444,,,,,,,,,,,,,,,,
1983,,,,,80.56070650482415,,,,92.28571428571429,,88.0,,,75.33333333333333,,90.4,,,,,,,,,,,,,,,,,,82.39707602339182,,,66.0,,,,,,47.142857142857146,,,,82.0,,,
1984,,,,88.0,84.67385766806721,94.81818181818181,75.5,,,,96.0,,,77.66666666666667,,88.33333333333334,,,,50.0,,,,,,,50.4,,,,87.0,,,81.07640415140415,85.0,,78.0,,,82.0,,,79.77976190476191,,,,82.72727272727273,,,
1985,,,,76.5,80.053406420781,,83.07051282051282,,79.875,76.2,86.0,,,85.25,,64.0,,,85.0,,,76.9,,,,,80.25,,,,81.76666666666667,,,77.38419913419914,77.625,,81.0,59.0,,,,,86.48647186147187,,,,85.2,,,
1986,,,,92.06666666666666,82.62394503644504,83.25,77.51851851851852,91.5,79.73636363636365,80.33333333333333,,,,83.625,,92.625,69.0,,67.875,95.0,,73.0,76.0,,,,,,,,74.5,,,84.63860544217687,79.25,76.25,88.5,58.166666666666664,,,,,80.70833333333334,,65.28571428571429,,83.23660714285714,,,
1987,,,,88.5,80.13143364108275,,85.81333333333333,,76.14097222222222,90.0,,,,86.55555555555556,,92.44444444444444,,,26.333333333333332,75.4,,83.0,70.0,,,,,,,,80.28,,82.83333333333334,69.26891293404451,81.27777777777777,,86.0,85.57142857142857,,,,80.0,57.22222222222223,,,,79.96666666666667,,,
1988,,,,88.71527777777777,79.12263704309159,70.0,84.49679487179486,65.0,77.045,82.5,,,,84.3111111111111,,86.5,83.0,96.0,70.225,,,71.5,68.0,82.42857142857143,,,,,,,86.03333333333333,,86.75,77.2988782051282,77.0,,88.85,86.33333333333333,,,,,81.53229166666667,60.0,77.0,,79.01547619047618,90.25,,
1989,,84.0,,65.0,82.82087104794792,91.25,85.71428571428572,,82.83636363636363,,,,,89.125,,70.5,86.0,,,77.0,,91.0,87.66666666666667,,,,,,,,81.775,,82.25,83.44830169830169,72.375,85.0,75.0,69.92777777777778,,,,80.71428571428571,84.15833333333335,,87.0,,80.09285714285714,86.375,,
1990,,,,77.12946428571428,81.66932219015553,,,,87.82722672064777,,,,,80.67545454545454,,85.5,85.66666666666667,83.83597883597884,79.5,86.875,,,79.0,84.0,,,,,,,67.77777777777777,,84.33333333333333,77.35999313186814,81.375,,50.0,80.3,,,,65.0,77.98695652173913,,94.5,,79.48724489795917,92.5,84.0,
1991,,90.0,88.0,82.16666666666666,79.22071360153257,82.0,77.0,100.0,79.9897584871269,72.0,,,,80.9451884920635,,,,84.16666666666666,88.5,81.43333333333334,,78.16666666666666,84.0,80.0,,,91.625,,,81.0,85.36458333333333,,88.6,76.91435594761359,94.5,,,,93.0,,,72.4,86.34895833333333,,82.78888888888889,,88.19160997732425,84.20833333333333,,
1992,,,84.33333333333333,73.69444444444444,78.2496280539384,66.5,,,78.31895238095237,,,,,84.5,79.0,85.72222222222223,90.0,81.85714285714286,,81.25,,87.0,,,,,,,,,77.79166666666667,,81.8,74.92303616931567,57.5,93.0,92.0,81.9,93.0,,,15.0,71.29901960784314,,46.0,,82.88888888888889,72.0,,
1993,79.0,,,62.55,79.18904320987653,64.0,,,82.70428262669643,,,,,73.12797619047619,,72.0,62.5,67.5,75.6,80.16666666666667,,87.5,90.0,86.14285714285714,,,72.0,,,,77.11111111111111,94.0,53.5,79.08969728242174,85.05,,70.0,87.77272727272727,,84.0,,,81.66666666666667,,80.0,,84.83888888888889,85.0,,92.5
1994,,,60.0,75.2,76.28161616161616,19.0,81.8,70.0,67.13571428571429,,,,,86.625,65.0,,,91.08823529411765,71.16666666666667,84.35,,79.5,93.33333333333333,,,,80.28571428571428,,,,82.10324675324675,,,72.02222222222223,84.33333333333333,88.0,95.0,84.0,,,,,78.7563909774436,70.0,76.66666666666667,,78.57716049382717,80.0,,
1995,,,,57.63333333333334,75.44788786482334,,91.66666666666667,,73.55744735127163,80.0,,,,80.57142857142857,89.5,69.66666666666667,54.0,79.94444444444444,57.5,45.0,,,79.0,5.0,,,81.0,,84.5,,80.16071428571428,68.5,,78.37773892773893,80.66666666666667,,90.0,87.55555555555556,85.4,,,,78.63333333333333,90.0,77.63888888888887,,87.48538961038962,82.20833333333333,,
1996,,,75.0,70.0,80.26161616161616,77.5,,,68.21228632478633,,,,,74.25,,83.6,58.25,91.38,90.5,58.333333333333336,,58.5,,,,,92.16666666666667,,,,70.1549019607843,80.0,84.0,66.0048826173826,77.5,75.5,82.0,59.8,,,,,76.58,,51.5,,80.09523809523809,88.25,,
