,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.14485592423345,,,,,,,,,,,,,,,,
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.36320236360937,,,,,,,,,,,,,,,,
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.50030841465981,,,,,,,,,,,,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,,,,,83.41692030277589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,,,,,89.23688301594139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,,,,71.09023907960591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.80914290445662,,,,,,,,,,,,,,,,
1978,,,,,84.34633839962595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,,,,,78.6928248364164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.38984624959578,,,,,,,,,,,,,77.28944766310752,,,
1980,,,,,78.69547509977185,,,,,,,,,,,78.07217560042933,,,,,,,,,,,,,,,,,,73.0713653531145,77.88437345633359,,,,,,,,,,,,,,,
1981,,,,,76.44980835856185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5517979176949,75.60221473911032,,,,,,,,,,,,,,,
1982,,,,,77.86965546218542,,,,,,,,,,,79.08248885342908,,,,,,,,,,,,,,,,,,77.44948191544972,,,,,,,,,,,,,,,,
1983,,,,,80.2896091077489,,,,85.46984556962622,,79.11728333077116,,,76.89669060178059,,85.5685570841266,,,,,,,,,,,,,,,,,,80.02783303294855,,,76.02402297010961,,,,,,56.418431428791294,,,,78.27366686877257,,,
1984,,,,81.06690709878217,81.5326611060301,88.69096847376709,76.59203408928619,,,,82.18458985181458,,,78.84643123193722,,82.16096359779091,,,,73.77437907144669,,,,,,,65.39645134912473,,,,78.97668058710472,,,80.25992008242888,80.42216908740588,,77.71125589410683,,,78.27366686877257,,,78.00658293215294,,,,79.41742878062145,,,
1985,,,,77.37703785052416,79.59296937680686,,81.04858874698638,,78.28089234388673,77.00527529306201,78.83607784343829,,,80.49342893531824,,75.74281748277674,,,78.69547509977185,,,76.95892303753283,,,,,78.68692849416007,,,,77.11911389005377,,,79.47388140364708,77.92444867473314,,78.76231377149182,75.03980376444458,,,,,81.80242302210502,,,,80.74678124875925,,,
1986,,,,87.89693257424219,79.95714683979035,79.87360957196714,79.08226953199257,81.07515477459371,78.76886895383815,78.98630697295962,,,,79.08936196889384,,86.14515697506452,76.44583120110892,,76.17737084400977,80.1015025364362,,77.00824217577467,77.11617568057015,,,,,,,,78.29429758541775,,,80.10955385055433,78.31924614562661,77.10468705708399,79.18758470260438,73.68119573124613,,,,,79.13347002891157,,71.05582882552093,,80.30873276403781,,,
1987,,,,83.8067608302509,79.4855709054992,,79.52445884072247,,80.64790083987529,79.39848881810403,,,,80.59135609473812,,86.46640942145918,,,60.764537310748125,76.64531175991667,,78.85581997527063,73.86751666993364,,,,,,,,78.00552936224156,,78.86264804045234,76.25195324888236,79.32286777161161,,80.38732685480284,81.88540754331432,,,,77.9924613814397,72.57848196825567,,,,78.86163720305375,,,
1988,,,,84.02755396648516,79.30967567265452,76.58643394477535,81.23590796801206,74.54181487540417,81.2329412976368,79.57693930251537,,,,81.21163150790217,,82.04106892799123,78.41426961243899,87.4527261799264,78.32073169156597,,,76.59435970327134,75.28143826021808,80.2075854884449,,,,,,,80.21004307400399,,79.35659566786853,79.20768533822178,78.1682152854101,,81.12740366291135,80.51819440180827,,,,,80.95672744022009,75.18040650811102,77.224104611325,,79.26807369741746,82.64253208685027,,
1989,,79.22609631255895,,75.88342022644319,80.17620744681219,83.0380924461193,80.12598550977873,,80.77452991549728,,,,,79.6419018776434,,75.89779108089634,78.83607784343829,,,77.44540329875448,,82.77872612982348,80.95716455938738,,,,,,,,79.28403463976328,,78.28790904663748,80.4856011047233,76.99547536356725,78.69547509977185,77.28944766310752,74.29276557528827,,,,79.29240982215252,81.02196507122906,,78.97668058710474,,78.35401748651609,79.53715910521832,,
1990,,,,76.92559494479087,79.94995137466843,,,,85.11361820631143,,,,,78.47528779558633,,80.76362038032242,80.29870932301871,81.39338083486477,78.3902582247083,81.0216981486345,,,77.85185863777326,78.14281352122366,,,,,,,78.00869897946914,,79.3115691360732,78.1798279149046,77.7312081335408,,73.77437907144669,78.70908043933443,,,,75.88342022644319,77.79039811367578,,84.32366361374362,,78.87621781922871,86.9519395164165,78.55487235610542,
1991,,79.39848881810403,81.75252127849497,78.36022564988593,78.79654280632361,78.73301405601634,77.33508429456415,80.80451625476837,80.38314037311498,76.2676027733033,,,,78.24444917869496,,,,78.69703109201319,79.3113199116214,79.32065600591694,,78.64662661055075,78.04297725749322,78.35378172847103,,,83.51827013892492,,,78.48647292774503,80.70822066594437,,82.5847100568148,79.89263325535023,80.03120116460298,,,,84.56450948911419,,,75.29544851062164,80.96687143099389,,80.051050965973,,80.01755718944462,78.68502401853158,,
1992,,,79.8597391654396,76.68237128471851,78.96240512943773,74.91162656781114,,,78.39867013604679,,,,,80.15094880301265,78.10385853512314,80.2705448220155,79.39848881810403,79.90252693301412,,78.31843461619097,,79.96571969737285,,,,,,,,,78.87646853232125,,79.795968107466,79.28567911855654,75.64123435789361,79.82029704910333,79.6796943054369,78.46817676729363,85.2609531508624,,,68.8532830431215,74.47025965679481,,73.21196809678095,,79.65928025741292,76.76301452337361,,
1993,77.85185863777326,,,72.01593453392229,78.90789207781819,73.16544426235811,,,80.58466187584837,,,,,77.75961449955591,,76.86763943210822,75.5319133672771,77.08620495378004,77.37380930930739,79.10677250096086,,79.04698195893795,79.39848881810403,82.19046609874512,,,76.86763943210822,,,,77.80387635247443,79.96089979276977,71.70659190028417,77.4632753363915,79.65442599207707,,75.77452051676069,82.334672621763,,78.55487235610543,,,77.57757158043917,,77.9924613814397,,79.55790862799168,80.07922424422915,,81.32169590286503
